Vehicle crime: England, East Midlands, Nottinghamshire, Yorkshire and the Humber, Bassetlaw District, Bassetlaw, Brigg and Goole, North Lincolnshire, North Lincolnshire, DN9 2EP, Y51Q33, Everton, On or near Tindale Bank Road
Anti-social behaviour: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, East Yorkshire, YO151HF, Y51Q32, Bridlington Central and Old Town, On or near Clarke Crescent
Violence and sexual offences: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, Kingston upon Hull East, HU7 6BG, Y51Q32, Sutton, On or near Frampton Close
Violence and sexual offences: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, Kingston upon Hull East, HU7 6BG, Y51Q32, Sutton, On or near Frampton Close
Violence and sexual offences: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, Kingston upon Hull East, HU7 6BG, Y51Q32, Sutton, On or near Frampton Close
Violence and sexual offences: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, Kingston upon Hull East, HU7 6AA, Y51Q32, Sutton, On or near Bridport Close
Violence and sexual offences: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, Kingston upon Hull East, HU7 6BB, Y51Q32, Sutton, On or near Kimmeridge Close
Violence and sexual offences: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, Kingston upon Hull East, HU7 6AA, Y51Q32, Sutton, On or near Bridport Close
Violence and sexual offences: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, Kingston upon Hull East, HU7 6BG, Y51Q32, Sutton, On or near Frampton Close
Violence and sexual offences: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, Kingston upon Hull East, HU7 4PL, Y51Q32, Bransholme West, On or near Pedestrian Subway
Violence and sexual offences: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, Kingston upon Hull East, HU7 6AN, Y51Q32, Sutton, On or near Weymouth Close
Violence and sexual offences: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, Kingston upon Hull East, HU7 6AA, Y51Q32, Sutton, On or near Bridport Close
Violence and sexual offences: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, Kingston upon Hull East, HU7 6AP, Y51Q32, Sutton, On or near Sports/Recreation Area
Violence and sexual offences: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, Kingston upon Hull East, HU7 4PL, Y51Q32, Bransholme West, On or near Pedestrian Subway
Other crime: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, Kingston upon Hull East, HU7 6BB, Y51Q32, Sutton, On or near Kimmeridge Close
Burglary: England, Yorkshire and the Humber, East Riding of Yorkshire, City of Kingston upon Hull, Kingston upon Hull North, Kingston upon Hull East, HU7 4SR, Y51Q32, Sutton, On or near Kestrel Avenue
Other theft: England, Yorkshire and the Humber, East Riding of Yorkshire, City of Kingston upon Hull, Kingston upon Hull North, Kingston upon Hull East, HU7 4SR, Y51Q32, Sutton, On or near Kestrel Avenue
Burglary: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 7AA, Y51Q32, Beverley, On or near Beechcliffe Avenue
Vehicle crime: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 7BX, Y51Q32, Beverley, On or near Cullingworth Avenue
Vehicle crime: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 7BX, Y51Q32, Beverley, On or near Cullingworth Avenue
Bicycle theft: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 9NH, Y51Q32, Orchard Park and Greenwood, On or near Greenwood Avenue
Burglary: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, Kingston upon Hull East, HU6 7DJ, Y51Q32, Beverley, On or near Welwyn Park Avenue
Criminal damage and arson: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 9NH, Y51Q32, Orchard Park and Greenwood, On or near Greenwood Avenue
Vehicle crime: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, Kingston upon Hull East, HU6 7DJ, Y51Q32, Beverley, On or near Welwyn Park Avenue
Anti-social behaviour: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 9BL, Y51Q32, Beverley, On or near Supermarket
Anti-social behaviour: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 9UF, Y51Q32, Beverley, On or near Countess Close
Anti-social behaviour: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 9EF, Y51Q32, Orchard Park and Greenwood, On or near Nairn Close
Anti-social behaviour: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 9EF, Y51Q32, Orchard Park and Greenwood, On or near Nairn Close
Burglary: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 7YE, Y51Q32, Beverley, On or near Clover Bank View
Burglary: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 7YA, Y51Q32, Beverley, On or near Evergreen Drive
Criminal damage and arson: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 9BL, Y51Q32, Beverley, On or near Supermarket
Criminal damage and arson: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 9BH, Y51Q32, Beverley, On or near Petrol Station
Criminal damage and arson: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 9BH, Y51Q32, Beverley, On or near Petrol Station
Criminal damage and arson: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 9BH, Y51Q32, Beverley, On or near Petrol Station
Criminal damage and arson: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 9EF, Y51Q32, Orchard Park and Greenwood, On or near Osprey Close
Drugs: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 7XF, Y51Q32, Beverley, On or near Bream Court
Other theft: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 9BL, Y51Q32, Beverley, On or near Supermarket
Public order: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 9BH, Y51Q32, Beverley, On or near Petrol Station
Public order: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 9BH, Y51Q32, Beverley, On or near Petrol Station
Public order: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 9BH, Y51Q32, Beverley, On or near Petrol Station
Public order: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 9BH, Y51Q32, Beverley, On or near Petrol Station
Shoplifting: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 9BL, Y51Q32, Beverley, On or near Supermarket
Shoplifting: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 9BL, Y51Q32, Beverley, On or near Supermarket
Shoplifting: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 9BL, Y51Q32, Beverley, On or near Supermarket
Shoplifting: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 9BL, Y51Q32, Beverley, On or near Supermarket
Shoplifting: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 9BL, Y51Q32, Beverley, On or near Supermarket
Violence and sexual offences: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 9BH, Y51Q32, Beverley, On or near Petrol Station
Violence and sexual offences: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 9BL, Y51Q32, Beverley, On or near Supermarket
Criminal damage and arson: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 7YA, Y51Q32, Beverley, On or near Greylees Avenue
Vehicle crime: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 7AE, Y51Q32, Beverley, On or near Forbes Avenue
Vehicle crime: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU6 7XP, Y51Q32, Beverley, On or near Mizzen Road
Anti-social behaviour: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU7 3BA, Y51Q32, Kings Park, On or near Dovestone Way
Anti-social behaviour: England, Yorkshire and the Humber, East Riding of Yorkshire, East Riding of Yorkshire, Haltemprice and Howden, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU7 3BA, Y51Q32, Kings Park, On or near Dovestone Way
Bicycle theft: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU7 3NG, Y51Q32, Kings Park, On or near John Newton Way
Burglary: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, Kingston upon Hull East, HU7 6DZ, Y51Q32, Kings Park, On or near Ennerdale
Criminal damage and arson: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, Kingston upon Hull East, HU7 4BL, Y51Q32, Kings Park, On or near Parking Area
Possession of weapons: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU7 3NG, Y51Q32, Kings Park, On or near John Newton Way
Public order: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU7 3NG, Y51Q32, Kings Park, On or near John Newton Way
Shoplifting: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU7 3NG, Y51Q32, Kings Park, On or near John Newton Way
Shoplifting: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU7 3NG, Y51Q32, Kings Park, On or near John Newton Way
Shoplifting: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU7 3NG, Y51Q32, Kings Park, On or near John Newton Way
Shoplifting: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU7 3NG, Y51Q32, Kings Park, On or near John Newton Way
Shoplifting: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, Kingston upon Hull East, HU7 4BL, Y51Q32, Kings Park, On or near Parking Area
Shoplifting: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, Kingston upon Hull East, HU7 4BL, Y51Q32, Kings Park, On or near Parking Area
Shoplifting: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU7 3NG, Y51Q32, Kings Park, On or near John Newton Way
Shoplifting: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU7 3NG, Y51Q32, Kings Park, On or near John Newton Way
Shoplifting: England, Yorkshire and the Humber, East Riding of Yorkshire, Kingston upon Hull, City of Kingston upon Hull, Kingston upon Hull North, HU7 3NG, Y51Q32, Kings Park, On or near John Newton Way
